0,1,2,
-26.0059,-22.797,42.1277,
-23.8241,-24.6861,41.8479,
-21.5096,-26.3715,41.9578,
-13.9596,-30.1256,42.3551,
-11.3058,-30.9248,41.892,
-8.61668,-31.493,42.4106,
-5.91198,-31.83,42.2633,
-3.2114,-31.9371,42.4437,
2.10056,-31.4759,41.4273,
4.67485,-30.9183,42.2698,
7.17112,-30.1526,42.4414,
9.57272,-29.1877,42.1866,
11.864,-28.0342,42.3176,
14.0304,-26.7035,41.7732,
16.0584,-25.2086,41.8591,
17.9359,-23.563,41.9535,
21.1973,-19.8791,42.4133,
22.5636,-17.8721,42.3573,
23.7443,-15.7769,42.4909,
25.5303,-11.3893,41.0608,
26.5324,-6.85286,41.6033,
26.7389,-4.57153,41.9607,
26.7517,-2.30378,41.9859,
26.5744,-0.0658612,42.6263,
26.2121,2.12648,41.6629,
25.6713,4.25814,42.0001,
24.9594,6.31476,41.8021,
24.0851,8.28283,42.6259,
23.0583,10.1498,42.4182,
21.8897,11.9039,42.206,
20.5908,13.5349,41.8096,
19.1739,15.0332,42.2528,
17.6521,16.3907,42.8364,
16.0388,17.6004,41.2099,
14.3479,18.6567,42.0155,
10.7907,20.2927,42.5727,
8.95328,20.8674,42.2753,
7.09587,21.2789,42.4591,
5.23277,21.5277,42.0061,
3.37801,21.6159,42.6289,
-0.252349,21.3242,42.1432,
-2.00214,20.954,42.0462,
-3.69217,20.4424,42.3095,
-5.31121,19.7968,42.7206,
-6.84882,19.0254,42.0411,
-9.64255,17.1421,42.4187,
-10.8824,16.0503,42.1281,
-12.0085,14.8727,42.0267,
-13.0152,13.6205,42.2581,
-13.898,12.3055,42.356,
-14.6537,10.9392,42.2884,
-15.2799,9.53384,43.0349,
-15.7754,8.10119,42.7332,
-16.1402,6.65315,43.6813,
-16.3751,5.2014,43.4272,
-16.4822,3.75736,42.8468,
-16.4644,2.33208,42.455,
-16.3256,0.93618,42.4868,
-16.0706,-0.420261,42.7239,
-15.705,-1.72774,42.2528,
-15.2352,-2.97743,42.3845,
-14.6683,-4.16121,42.5943,
-13.2742,-6.3025,42.595,
-12.464,-7.24781,42.7602,
-11.5902,-8.1029,42.5519,
-10.6622,-8.86387,42.5386,
-9.68945,-9.52778,42.5802,
-7.64826,-10.5571,42.7388,
-6.59902,-10.9212,42.5056,
-5.5433,-11.1855,42.6558,
-4.49028,-11.3516,42.6739,
-3.44886,-11.4217,42.6951,
-2.42753,-11.3991,42.9207,
-1.43436,-11.2876,42.0781,
-0.476907,-11.0918,44.7515,
0.437852,-10.8168,42.5202,
1.30355,-10.4685,42.4818,
2.11447,-10.053,42.9327,
2.86561,-9.57709,42.8053,
3.5527,-9.04775,42.5016,
4.1722,-8.47231,43.3019,
4.72136,-7.85829,42.9772,
5.1982,-7.21332,42.6766,
5.60151,-6.5451,42.7735,
5.93087,-5.8613,43.0168,
6.18659,-5.16949,43.0368,
6.36975,-4.47707,43.1383,
6.48211,-3.79118,43.0421,
6.52613,-3.11868,42.9241,
6.5049,-2.46604,43.0074,
6.42208,-1.83932,43.3123,
6.28192,-1.24408,42.7582,
6.0891,-0.68537,42.8536,
5.84878,-0.167662,42.5293,
5.56646,0.305171,42.7656,
5.24793,0.729891,42.8891,
4.89925,1.10391,43.1155,
4.52661,1.42532,43.0865,
4.13631,1.69288,43.0412,
3.73469,1.90604,43.6814,
3.32803,2.06491,44.0142,
2.9225,2.17028,43.6858,
2.52411,2.22358,43.3711,
2.1386,2.22684,43.1419,
1.77144,2.18271,42.9095,
1.42772,2.09437,42.8746,
1.11213,1.96552,43.0072,
0.82889,1.80032,42.9044,
0.581724,1.60332,42.9292,
0.37381,1.37946,42.9608,
0.207753,1.13397,42.6944,
0.0855583,0.872277,43.1843,
